Category: All categories

Week,JavaScript: (Worldwide),Python: (Worldwide),Java: (Worldwide),Go: (Worldwide),Rust: (Worldwide)
2020-08-02,41,60,44,10,1
2020-08-09,41,59,43,10,1
2020-08-16,42,60,44,10,1
2020-08-23,42,59,44,10,1
2020-08-30,41,61,44,10,1
2020-09-06,42,63,46,10,1
2020-09-13,42,63,47,9,1
2020-09-20,41,64,47,9,1
2020-09-27,37,58,44,8,1
2020-10-04,37,59,44,8,1
2020-10-11,32,53,40,8,1
